Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Salapia, area conceria, US 2054;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;0.5000;5;6;15.997366453388821;41.399715738794626;;1;;;;;;;;2;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;
Salapia, area conceria, US 2211-2217;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;7;7;15.997366453388821;41.399715738794626;;;;;8;;;;;16;2;;;;;;;;;;;;;1;4;;;;13;;;;;;;;;;;
Salapia, area conceria, 8th-9th c.;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;0.5000;8;9;15.997366453388821;41.399715738794626;2;6;3;;;;;;;56;1;;;;2;;;7;;;;;;20;;;;;28;;;;;;;;;;;
Faragola, wastepit 61;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;1.0000;7;7;15.560001469193985;41.22830663491206;;5;;;1;;;;;9;;;;;1;;;;;;;;;8;;;;;9;;;;;;;;;;;
Faragola, wastepit 66;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;1.0000;7;7;15.560001469193985;41.22830663491206;34;6;;4;18;;;;;20;12;32;;;19;8;;6;;;;;;10;;;;;18;;;;;;;;;;;
Herculaneum, Cardo V sewer;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.348113264181602;40.80591626652151;1;2;1;1;3;;52;35;7;207;18;;3;;6;;;;6;3;;;1000;210;4;;;4;686;;;;;;12;1;;16;;2
Colle Castellano, Phase 3-4;Medieval;Molise;Southern Italy;EMA;Urban;Hill;0.5000;10;11;14.111965302686905;41.55669229775053;20;;;;24;;231;;;55;;;1;;;3;;14;;;;;2;2;;;;;;;;;;;;;;;;
Colle Castellano, Phase 3-4;Medieval;Molise;Southern Italy;Ma;Urban;Hill;0.5000;10;11;14.111965302686905;41.55669229775053;20;;;;24;;231;;;55;;;1;;;3;;14;;;;;2;2;;;;;;;;;;;;;;;;
Vagnari II, Phase 2;Roman;Puglia;Southern Italy;R;Rural;Hill;1.0000;1;1;16.274555989653205;40.83289782302369;3;1;;;6;;;;;16;;;;;5;2;;10;;;;;;;;;;;4;;;;;;;;;;;
Vagnari II, Phase 3;Roman;Puglia;Southern Italy;R;Rural;Hill;1.0000;2;2;16.274555989653205;40.83289782302369;7;;3;;4;;;;;11;;;;;;2;;3;;;;;;;;;;;2;;;;;;4;;;;;
Vagnari II, Phase 4;Roman;Puglia;Southern Italy;R;Rural;Hill;0.5000;2;3;16.274555989653205;40.83289782302369;9;;3;3;5;;;;;7;;;;;2;2;;10;;;;;;;;;;;3;;;;;;1;;;;;
Vagnari II, Phase 4;Roman;Puglia;Southern Italy;LR;Rural;Hill;0.5000;2;3;16.274555989653205;40.83289782302369;9;;3;3;5;;;;;7;;;;;2;2;;10;;;;;;;;;;;3;;;;;;1;;;;;
Vagnari II, Phase 5;Roman;Puglia;Southern Italy;LR;Rural;Hill;1.0000;3;3;16.274555989653205;40.83289782302369;3;;;;1;;;;;1;;;;;;2;;2;;;;;;;;;;;3;;;;;;;;;;;
San Vincenzo al Volturno, kitchen area;Early Medieval;Molise;Southern Italy;EMA;Religious, monastery;Hill;1.0000;9;9;14.087630727003582;41.64988907359276;40;50;;;35;;;;;;40;;;;300;;;;320;50;;;;1428;;;;;20;;;;;;;;;;;
Supersano, loc. Scorpo;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;7;8;18.23607367470956;40.03794944922776;3;;;2;3;;;;;;;;;;;;;;;;;;2;1204;;;;2;1;;;1;;;;37;;;;
Apigliano, 9th-10th c., pits;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;9;10;18.269140461849993;40.20095884213332;1;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apigliano, 10th-11th c., pits;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;10;11;18.269140461849993;40.20095884213332;2;;;;1;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Apigliano, 10th-11th c., pits;Byzantine;Puglia;Southern Italy;Ma;Rural;Plain;0.5000;10;11;18.269140461849993;40.20095884213332;2;;;;1;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Faragola, granary A7;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;0.5000;7;8;15.560001469193985;41.22830663491206;29;2;;37;288;;;;;110;;16;;;214;;;2;;;;;;;;;;;;;;;;;;;;;;
Faragola, granary A8;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;0.5000;7;8;15.560001469193985;41.22830663491206;1140;22;;;45;;;;;15;;;;;2;;1;;;;;;;;;;;;1;;;;;;;;;;;
Lecce, piazzetta Castromediano;Late Roman;Puglia;Southern Italy;LR;Urban;Plain;0.5000;3;4;18.17231067896651;40.35452508937071;;8;;;2;;;;;;;;48;;;;;;;;;;;5;;;;;4;;;;;;1;;;;;
Lecce, piazzetta Epulione;Late Roman;Puglia;Southern Italy;LR;Urban;Plain;0.5000;3;4;18.171272184642334;40.35094466749672;;;;;;;;;;;;;;;;;;1;;;;;;8;;;;;9;;;;;;;;;;;
Pantanello, sanctuary basin, abandonment phase, 2nd c. - 1st c. BCE;Roman;Basilicata;Southern Italy;R;Rural;Coast;0.5000;-2;-1;16.786493772770424;40.389436907716814;1;2;;;13;;9;;;14;;;;;;;;;;;;;2119;334;;;;;184;;;;;;;;;;;
Pompei, I 9, House of Amarantus, 1st c. BCE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;-1;-1;14.49110577296243;40.750398448830175;;;;;;;;;;1;1;;1;;;;;1;1;;;;1;1;;;;;1;;;;;;;;;;;
Pompei, I 9, House of Amarantus, 1st c. CE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;1;1;14.49110577296243;40.750398448830175;;1;;;1;;1;1;;1;;;;;;;;1;1;1;;;1;1;;1;;;1;;;;;;1;;;;;1
Pompei, VI, 1, 9.10.23, House of the Surgeon, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481851060152305;40.75159883733663;3;5;1;;;;4;3;;42;11;;;6;20;;;;6;;;;28;147;2;;;;417;;;;;;;;;;;
